idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;115922;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;121289;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;117575;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2022;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;89282;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;0;Total;114228;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;120481;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;0_JS;Public sector;121471;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;111283;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;129196;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;108408;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;121783;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;122190;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;109804;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;132552;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;138820;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;132717;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2023;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;101573;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;0;Total;132372;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;143200;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;0_JS;Public sector;141110;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;128842;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;154034;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040110IND02;01;2024;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;128326;RSD;RSD;SORS;Average gross earnings;A;Normal value
