idindikator;mes;god;IDModalitetRegZap;nModalitetRegZap;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70190;Obrenovac;728;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70203;Palilula (Beograd);63474;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70203;Palilula (Beograd);57037;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70203;Palilula (Beograd);6136;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70203;Palilula (Beograd);301;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70211;Rakovica;14307;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70211;Rakovica;10289;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70211;Rakovica;4006;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70211;Rakovica;12;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70220;Savski venac;101457;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70220;Savski venac;98620;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70220;Savski venac;2826;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70220;Savski venac;11;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70238;Sopot;3783;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70238;Sopot;1994;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70238;Sopot;1584;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70238;Sopot;206;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70246;Stari grad;66721;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70246;Stari grad;62439;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70246;Stari grad;4272;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70246;Stari grad;11;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70254;Čukarica;35281;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70254;Čukarica;28568;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70254;Čukarica;6692;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70254;Čukarica;20;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70262;Blace;2322;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70262;Blace;1791;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70262;Blace;402;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70262;Blace;129;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70289;Bogatić;5550;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70289;Bogatić;1824;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70289;Bogatić;971;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70289;Bogatić;2754;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70297;Bojnik;1184;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70297;Bojnik;787;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70297;Bojnik;275;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70297;Bojnik;122;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70319;Boljevac;2390;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70319;Boljevac;1381;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70319;Boljevac;352;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70319;Boljevac;658;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70327;Bor;12121;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70327;Bor;10483;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70327;Bor;1487;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70327;Bor;152;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70335;Bosilegrad;1490;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70335;Bosilegrad;1084;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70335;Bosilegrad;320;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70335;Bosilegrad;85;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70343;Brus;3642;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70343;Brus;2163;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70343;Brus;702;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70343;Brus;776;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70351;Bujanovac;5377;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70351;Bujanovac;4125;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70351;Bujanovac;981;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70351;Bujanovac;271;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70360;Valjevo;25999;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70360;Valjevo;19400;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70360;Valjevo;4719;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;03;Registered individual agricultural producers (farmers);70360;Valjevo;1880;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;0;Registered employment - total;70378;Varvarin;3211;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;01;Employees at legal entities (in "long-term employment" and in "temporary and occasional employment");70378;Varvarin;1129;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
240204IND01;00;2015;02;Entrepreneurs and their employees and persons individually running business (in "long-term employment" and in "temporary and occasional employment");70378;Varvarin;684;NR;number;SORS;Registered employment by municipalities of work (NSTJ);A;Normal value
