idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;3_ZS;Health and social work;37962;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;4_OK;Education and culture;51202;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;5_AD;Administration - all levels;64130;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2011;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;0;Total;50829;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;0_JP_JD_JL;Public enterprises;69069;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;0_JS;Public sector;56574;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;0_VJS;Non-public sector;45643;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;1_JD;Public state enterprises;76050;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;2_JL;Public local enterprises;58667;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;3_4_5_BK;General government;51216;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;3_ZS;Health and social work;40847;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;4_OK;Education and culture;55750;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;5_AD;Administration - all levels;65836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2012;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average gross earnings;O;Not available
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2013;0;Total;54447;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040104IND02;RS;REPUBLIC OF SERBIA;01;2013;0_JP_JD_JL;Public enterprises;72302;RSD;RSD;SORS;Average gross earnings;A;Normal value
