idindikator;IDTer;nTer;mes;god;IDModalitetZarZap;nModalitetZarZap;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2018;1;Salaries and wages of employees with indefinite or fixed-term employment contract;68597;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2018;2;Salaries and wages of employees in temporary and occasional employment;46751;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2019;0;Total;74730;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2019;1;Salaries and wages of employees with indefinite or fixed-term employment contract;75167;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2019;2;Salaries and wages of employees in temporary and occasional employment;50134;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2020;0;Total;81830;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2020;1;Salaries and wages of employees with indefinite or fixed-term employment contract;82213;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2020;2;Salaries and wages of employees in temporary and occasional employment;54349;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2021;0;Total;88663;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2021;1;Salaries and wages of employees with indefinite or fixed-term employment contract;89043;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2021;2;Salaries and wages of employees in temporary and occasional employment;58379;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2022;0;Total;100632;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2022;1;Salaries and wages of employees with indefinite or fixed-term employment contract;101102;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2022;2;Salaries and wages of employees in temporary and occasional employment;62826;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2023;0;Total;116135;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2023;1;Salaries and wages of employees with indefinite or fixed-term employment contract;116644;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2023;2;Salaries and wages of employees in temporary and occasional employment;71489;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2024;0;Total;133279;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040111IND02;RS;REPUBLIC OF SERBIA;06;2024;1;Salaries and wages of employees with indefinite or fixed-term employment contract;133832;RSD;RSD;SORS;Average gross earnings;A;Normal value
