idindikator;IDTer;nTer;IDJavniSEK;nJavniSEK;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2009;41639;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2009;38885;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2009;26029;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2009;44555;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2009;37065;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2009;37659;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2009;36901;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2009;36518;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2009;41592;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2009;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2009;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2009;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2010;34142;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2010;43353;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2010;39810;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2010;29285;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2010;46435;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2010;38630;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2010;38277;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;00;2010;36996;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;00;2010;36929;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;00;2010;43858;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;00;2010;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;00;2010;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;00;2010;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040404IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2011;37976;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;00;2011;48527;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_JS;Public sector;00;2011;43506;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;00;2011;33045;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;00;2011;53614;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;00;2011;40982;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040404IND01;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;00;2011;41350;RSD;RSD;SORS;Average net earnings;A;Normal value
