idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2018;69684;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2018;70074;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2018;48590;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2019;76511;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2019;76936;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2019;52079;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2020;81464;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2020;81814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2020;54199;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2021;89720;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2021;90115;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2021;58050;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2022;102432;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2022;102957;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2022;62443;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2023;118992;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2023;119503;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2023;74654;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2024;138332;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2024;138915;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2024;85459;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2025;148930;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;05;2025;149532;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;05;2025;93884;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2018;68047;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2018;68527;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2018;45759;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2019;74009;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2019;74492;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2019;48580;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2020;82572;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2020;82957;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2020;55069;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2021;89793;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2021;90200;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2021;59280;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2022;102523;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2022;103056;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2022;62953;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2023;118025;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2023;118618;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2023;70923;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2024;132290;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2024;132867;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2024;81839;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;06;2025;147947;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;06;2025;148576;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;06;2025;91655;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2018;68029;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2018;68502;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2018;45796;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2019;76056;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2019;76526;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2019;50927;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2020;83016;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2020;83427;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2020;54647;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2021;89330;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2021;89733;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2021;59082;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2022;100937;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2022;101452;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2022;62017;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2023;115664;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2023;116206;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2023;70848;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2024;135195;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;07;2024;135708;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;07;2024;87600;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040105IND02;RS;REPUBLIC OF SERBIA;0;Total;07;2025;150646;RSD;RSD;SORS;Average gross earnings;A;Normal value
