idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1996;658;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1997;798;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1998;1052;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;1999;1261;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2000;2389;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2001;5840;RSD;RSD;SORS;Average net earnings;D;Definition differs
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2002;9208;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2003;11500;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2004;14108;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2005;17443;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2006;21707;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2007;27759;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2008;32746;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2009;31733;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2010;34142;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2011;37976;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2012;41377;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2013;43932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2014;44530;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2015;44432;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2016;46097;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2017;47893;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2018;49650;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2019;54919;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2020;60073;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2021;65864;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2022;74933;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2023;86007;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2024;98143;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040401IND01;RS;REPUBLIC OF SERBIA;00;2025;109462;RSD;RSD;SORS;Average net earnings;A;Normal value
