idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2013;43371;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2014;44057;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2015;42749;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2016;44450;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2017;46990;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2018;47819;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2019;52426;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2020;58132;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2021;62280;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2022;70605;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2023;81359;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2024;94125;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2025;103519;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;02;2026;116127;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1977;3971;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1978;4811;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1979;5642;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1980;6291;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1981;8600;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1982;11643;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1983;13854;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1984;19041;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1985;30333;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1986;60782;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1987;110608;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1988;295098;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1989;1388372;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1990;3024;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1991;6088;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1992;27415;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1993;1568422;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1994;82;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1995;277;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1996;547;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1997;707;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1998;941;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;1999;1286;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2000;1841;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2001;4262;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2002;8204;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2003;10126;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2004;12911;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2005;15863;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2006;20094;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2007;25960;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2008;30809;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2009;30362;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2010;33508;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2011;35777;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2012;40562;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2013;41689;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2014;43452;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2015;43121;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2016;45870;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2017;47814;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2018;49400;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2019;54271;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2020;59681;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2021;65289;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2022;74664;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2023;85485;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2024;96913;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;03;2025;108013;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1977;3925;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1978;4589;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1979;5592;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1980;6727;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1981;8957;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1982;11711;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1983;14219;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1984;19602;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1985;32879;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1986;67707;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1987;119951;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1988;312374;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1989;1726426;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1990;3008;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1991;6528;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1992;44524;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1993;4627432;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040101IND01;RS;REPUBLIC OF SERBIA;04;1994;116;RSD;RSD;SORS;Average net earnings;A;Normal value
