idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021105IND01;70025;Aleksinac;00;2022;0;Total;12701;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2022;1;Male;7010;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2022;2;Female;5690;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;0;Total;12972;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;1;Male;7084;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2023;2;Female;5889;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;0;Total;12841;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;1;Male;7014;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2024;2;Female;5828;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;0;Total;12781;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;1;Male;6926;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70025;Aleksinac;00;2025;2;Female;5855;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2025;0;Total;14131;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2025;1;Male;7568;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2025;2;Female;6563;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2024;0;Total;14102;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2024;1;Male;7598;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2024;2;Female;6504;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2023;0;Total;14073;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2023;1;Male;7620;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2023;2;Female;6453;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2022;0;Total;13780;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2022;1;Male;7493;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2022;2;Female;6287;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2021;0;Total;13768;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2021;1;Male;7588;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2021;2;Female;6180;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2020;0;Total;13440;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2020;1;Male;7447;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2020;2;Female;5993;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2019;0;Total;13112;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2019;1;Male;7269;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2019;2;Female;5843;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2018;0;Total;12811;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2018;1;Male;7175;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2018;2;Female;5636;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2017;0;Total;12375;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2017;1;Male;6952;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2017;2;Female;5423;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2016;0;Total;12073;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2016;1;Male;6802;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70033;Aranđelovac;00;2016;2;Female;5271;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2016;0;Total;5237;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2016;1;Male;2846;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2016;2;Female;2391;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2017;0;Total;5359;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2017;1;Male;2828;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2017;2;Female;2530;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2018;0;Total;5544;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2018;1;Male;2914;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2018;2;Female;2631;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2019;0;Total;5660;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2019;1;Male;2965;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2019;2;Female;2695;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2020;0;Total;5817;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2020;1;Male;3045;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2020;2;Female;2773;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2021;0;Total;5855;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2021;1;Male;3059;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2021;2;Female;2796;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2022;0;Total;5804;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2022;1;Male;3025;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2022;2;Female;2780;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2023;0;Total;5918;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2023;1;Male;3092;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2023;2;Female;2826;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2024;0;Total;5889;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2024;1;Male;3082;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2024;2;Female;2807;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2025;0;Total;5854;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2025;1;Male;3053;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70041;Arilje;00;2025;2;Female;2801;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2025;0;Total;2341;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2025;1;Male;1327;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2025;2;Female;1013;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2024;0;Total;2349;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2024;1;Male;1331;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2024;2;Female;1018;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2023;0;Total;2445;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2023;1;Male;1410;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2023;2;Female;1036;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2022;0;Total;2504;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2022;1;Male;1447;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2022;2;Female;1057;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2021;0;Total;2495;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2021;1;Male;1450;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2021;2;Female;1046;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2020;0;Total;2397;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2020;1;Male;1393;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2020;2;Female;1004;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2019;0;Total;2399;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2019;1;Male;1396;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2019;2;Female;1003;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2018;0;Total;2424;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2018;1;Male;1412;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2018;2;Female;1011;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2017;0;Total;2326;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2017;1;Male;1363;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2017;2;Female;963;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2016;0;Total;2263;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2016;1;Male;1334;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70050;Babušnica;00;2016;2;Female;929;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2016;0;Total;6321;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2016;1;Male;3878;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2016;2;Female;2443;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2017;0;Total;6503;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2017;1;Male;3942;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2017;2;Female;2561;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2018;0;Total;6820;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2018;1;Male;4129;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2018;2;Female;2691;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2019;0;Total;7088;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2019;1;Male;4278;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2019;2;Female;2810;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2020;0;Total;7183;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
24021105IND01;70068;Bajina Bašta;00;2020;1;Male;4322;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ) ;A;Normal value
