idindikator;IDTer;nTer;mes;god;IDKD08;nkd08;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040108IND02;RS;REPUBLIC OF SERBIA;09;2024;0;Total;133471;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;09;2025;0;Total;148366;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2018;0;Total;68132;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2019;0;Total;74948;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2020;0;Total;82056;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2021;0;Total;89169;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2022;0;Total;101627;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2023;0;Total;116868;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2024;0;Total;133742;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;10;2025;0;Total;148844;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2018;0;Total;68300;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2019;0;Total;75218;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2020;0;Total;82255;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2021;0;Total;89734;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2022;0;Total;102213;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2023;0;Total;117518;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2024;0;Total;134214;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;11;2025;0;Total;149382;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;12;2018;0;Total;68629;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040108IND02;RS;REPUBLIC OF SERBIA;12;2019;0;Total;75814;RSD;RSD;SORS;Average gross earnings;A;Normal value
