idindikator;IDTer;nTer;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1978;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1979;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1980;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1981;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1982;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1983;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1984;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1985;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1986;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1987;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1988;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1989;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1990;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1991;;RSD;RSD;SORS;Average gross earnings;M;Missing value - data cannot exist
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1992;56120;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1993;1956;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1994;287;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1995;568;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1996;1084;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1997;1324;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1998;1702;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;1999;1992;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2000;3799;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2001;8691;RSD;RSD;SORS;Average gross earnings;D;Definition differs
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2002;13260;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2003;16612;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2004;20555;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2005;25514;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2006;31745;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2007;38744;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2008;45674;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2009;44147;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2010;47450;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2011;52733;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2012;57430;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2013;60708;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2014;61426;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2015;61145;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2016;63474;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2017;65976;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2018;68629;RSD;RSD;SORS;Average gross earnings;B;Time series break
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2019;75814;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2020;82984;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2021;90784;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2022;103316;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2023;118599;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2024;135403;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040401IND02;RS;REPUBLIC OF SERBIA;00;2025;151086;RSD;RSD;SORS;Average gross earnings;A;Normal value
