idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2021;89894;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2021;95788;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2021;48508;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2022;102781;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2022;109414;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2022;54290;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2023;117669;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2023;125377;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2023;61733;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2024;133373;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2024;142273;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2024;68806;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;03;2025;148652;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2025;158631;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2025;77641;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2018;67901;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2018;71938;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2018;36994;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2019;75441;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2019;80154;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2019;40632;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2020;81486;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2020;86440;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2020;45836;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2021;89582;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2021;95622;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2021;47611;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2022;100727;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2022;107373;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2022;52441;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2023;115631;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2023;123561;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2023;58639;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2024;133356;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2024;142144;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2024;70245;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;04;2025;150777;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2025;160787;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2025;79566;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2018;69684;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2018;73782;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2018;38530;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2019;76511;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2019;81261;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2019;41482;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2020;81464;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2020;86519;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2020;45774;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2021;89720;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2021;95873;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2021;46924;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2022;102432;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2022;109125;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2022;53726;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2023;118992;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2023;126879;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2023;62287;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2024;138332;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2024;147479;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2024;72442;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;0;Total;05;2025;148930;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;05;2025;158678;RSD;RSD;SORS;Average gross earnings;A;Normal value
2403040106IND02;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;05;2025;79714;RSD;RSD;SORS;Average gross earnings;A;Normal value
