idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70220;Savski venac;K1;2016;2;Female;7935;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70238;Sopot;K1;2016;0;Total;5194;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70238;Sopot;K1;2016;1;Male;3000;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70238;Sopot;K1;2016;2;Female;2194;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70246;Stari grad;K1;2016;0;Total;20076;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70246;Stari grad;K1;2016;1;Male;9556;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70246;Stari grad;K1;2016;2;Female;10520;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70254;Čukarica;K1;2016;0;Total;62307;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70254;Čukarica;K1;2016;1;Male;30638;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70254;Čukarica;K1;2016;2;Female;31668;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70262;Blace;K1;2016;0;Total;2250;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70262;Blace;K1;2016;1;Male;1284;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70262;Blace;K1;2016;2;Female;967;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
