idindikator;mes;god;IDTer;nTer;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;115135;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;1_JD;Public state enterprises;144823;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;2_JL;Public local enterprises;118299;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;3_4_5_BK;General government;124456;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;3_ZS;Health and social work;123831;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;4_OK;Education and culture;118704;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;5_AD;Administration - all levels;130432;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;5_AD2;Administration - government  level;135855;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;5_AD3;Administration - autonomous  province level;122845;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;01;2026;RS;REPUBLIC OF SERBIA;5_AD4;Administration - local authorities’ level;103059;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;0;Total;48930;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;0_JP_JD_JL;Public enterprises;59190;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;0_JS;Public sector;55381;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040110IND01;02;2018;RS;REPUBLIC OF SERBIA;0_VJS;Non-public sector;45612;RSD;RSD;SORS;Average net earnings;A;Normal value
