idindikator;IDTer;nTer;mes;god;IDJavniSEK;nJavniSEK;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2008;4_OK;Education and culture;33634;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2008;5_AD;Administration - all levels;37023;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2008;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2008;5_AD3;Administration - autonomous  province level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2008;5_AD4;Administration - local authorities’ level;;RSD;RSD;SORS;Average net earnings;O;Not available
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;0;Total;28877;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;0_JP_JD_JL;Public enterprises;41745;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;0_JS;Public sector;35440;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;0_VJS;Non-public sector;23579;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;1_JD;Public state enterprises;44763;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;2_JL;Public local enterprises;36502;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;3_4_5_BK;General government;32415;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;3_ZS;Health and social work;25407;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;4_OK;Education and culture;35686;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;5_AD;Administration - all levels;41982;RSD;RSD;SORS;Average net earnings;B;Time series break
2403040104IND01;RS;REPUBLIC OF SERBIA;01;2009;5_AD2;Administration - government  level;;RSD;RSD;SORS;Average net earnings;O;Not available
