idindikator;IDTer;nTer;IDZarStatusPS;nZarStatusPS;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2022;74664;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2022;79602;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2022;38564;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2023;85485;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2023;91223;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2023;43846;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2024;96913;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2024;103531;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2024;48899;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2025;108013;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;03;2025;115454;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;03;2025;55066;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2018;49117;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2018;52093;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2018;26336;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2019;54645;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2019;58132;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2019;28885;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2020;58932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2020;62648;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2020;32191;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2021;64948;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees at legal entities;04;2021;69429;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040106IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of entrepreneurs and their employees;04;2021;33811;RSD;RSD;SORS;Average net earnings;A;Normal value
