idindikator;IDTer;nTer;IDModalitetZarZap;nModalitetZarZap;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2020;59980;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2020;38298;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2021;65289;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2021;65580;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2021;42307;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2022;74664;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2022;75021;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2022;46117;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2023;85485;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2023;85871;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2023;52673;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2024;96913;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2024;97358;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2024;56979;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;03;2025;108013;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;03;2025;108497;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;03;2025;63456;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2018;49117;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2018;49421;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2018;32403;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2019;54645;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2019;54978;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2019;35660;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2020;58932;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2020;59176;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;2;Salaries and wages of employees in temporary and occasional employment;04;2020;38539;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;0;Total;04;2021;64948;RSD;RSD;SORS;Average net earnings;A;Normal value
2403040105IND01;RS;REPUBLIC OF SERBIA;1;Salaries and wages of employees with indefinite or fixed-term employment contract;04;2021;65245;RSD;RSD;SORS;Average net earnings;A;Normal value
