municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,avg_2025_value_rsd
70572,Kladovo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,93452.08
70599,Knić,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,120641.08
70599,Knić,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,87304.83
70602,Knjaževac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,113439.92
70602,Knjaževac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Zaječarska oblast,municipality,,82178.25
70629,Kosjerić,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,126695.58
70629,Kosjerić,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,91320.92
70637,Koceljeva,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,115662.92
70637,Koceljeva,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,83782.33
70645,Kragujevac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,143375.25
70645,Kragujevac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,103574.5
70653,Kraljevo,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,126650.92
70653,Kraljevo,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,91604.17
70661,Krupanj,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,115590.33
70661,Krupanj,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,83723.92
70670,Kruševac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,133615.16
70670,Kruševac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Rasinska oblast,municipality,,96597.75
70688,Kuršumlija,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,120259.5
