municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,from_year,from_quarter,to_year,to_quarter,from_value_rsd,to_value_rsd,change_pct,abs_change_pct
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2023,Q4,2024,Q1,125513.33,141668.67,12.87,12.87
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,2023,Q4,2024,Q1,90270.33,101847.67,12.83,12.83
89010,Grad Novi Sad,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,city,Grad Novi Sad,2021,Q3,2021,Q4,73606.67,82931.67,12.67,12.67
70815,Medveđa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,63176.67,71154.33,12.63,12.63
71358,Vranjska Banja,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,city_municipality,Grad Vranje,2019,Q3,2019,Q4,52087.33,58642.0,12.58,12.58
70815,Medveđa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,2022,Q4,2023,Q1,87490.33,98440.33,12.52,12.52
70220,Savski venac,gross,SRBIJA – SEVER,Beogradski region,Beogradski region,city_municipality,Grad Beograd,2018,Q4,2019,Q1,96087.33,108085.33,12.49,12.49
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,2018,Q3,2018,Q4,69338.67,77927.33,12.39,12.39
70963,Preševo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,58404.33,65640.33,12.39,12.39
70963,Preševo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2023,Q4,2024,Q1,80897.33,90900.33,12.37,12.37
80454,Titel,net,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q1,2019,Q2,41971.33,47156.0,12.35,12.35
70998,Prokuplje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,2020,Q3,2020,Q4,50059.33,56193.33,12.25,12.25
70351,Bujanovac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2022,Q4,2023,Q1,72951.67,81860.0,12.21,12.21
80454,Titel,gross,SRBIJA – SEVER,Region Vojvodine,Južnobačka oblast,municipality,,2019,Q1,2019,Q2,57885.67,64914.67,12.14,12.14
71064,Svrljig,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,2023,Q4,2024,Q1,60584.67,67931.67,12.13,12.13
70351,Bujanovac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,2022,Q4,2023,Q1,52933.0,59336.33,12.1,12.1
