municipality_code,municipality_name,earnings_type,macro_region_name,statistical_region_name,administrative_district_name,local_unit_type,city_group_name,value_2018_rsd,value_2025_rsd,absolute_growth_rsd,growth_pct
70726,Leskovac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,55098.0,117059.0,61961.0,112.46
70726,Leskovac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,39999.0,84787.0,44788.0,111.97
70734,Loznica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,54673.0,122741.0,68068.0,124.5
70734,Loznica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,39641.0,88770.0,49129.0,123.93
70742,Lučani,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,73258.0,150314.0,77056.0,105.18
70742,Lučani,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Moravička oblast,municipality,,52659.0,108105.0,55446.0,105.29
70769,Ljig,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,63532.0,130070.0,66538.0,104.73
70769,Ljig,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,45834.0,94027.0,48193.0,105.15
70777,Ljubovija,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,60553.0,126990.0,66437.0,109.72
70777,Ljubovija,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,43717.0,92091.0,48374.0,110.65
70785,Majdanpek,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,68165.0,159459.0,91294.0,133.93
70785,Majdanpek,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,49202.0,114639.0,65437.0,133.0
70793,Mali Zvornik,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,56205.0,121521.0,65316.0,116.21
70793,Mali Zvornik,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Mačvanska oblast,municipality,,40757.0,88069.0,47312.0,116.08
70807,Malo Crniće,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,53957.0,113837.0,59880.0,110.98
70807,Malo Crniće,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,39156.0,82274.0,43118.0,110.12
70815,Medveđa,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,62376.0,126335.0,63959.0,102.54
70815,Medveđa,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Jablanička oblast,municipality,,45143.0,91290.0,46147.0,102.22
70823,Merošina,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,50477.0,109843.0,59366.0,117.61
70823,Merošina,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,36776.0,79706.0,42930.0,116.73
70831,Mionica,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,55588.0,116634.0,61046.0,109.82
70831,Mionica,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,40340.0,84499.0,44159.0,109.47
70840,Negotin,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,58457.0,127576.0,69119.0,118.24
70840,Negotin,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Borska oblast,municipality,,42331.0,92076.0,49745.0,117.51
70866,Nova Varoš,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,56082.0,118811.0,62729.0,111.85
70866,Nova Varoš,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,40590.0,85760.0,45170.0,111.28
70874,Novi Pazar,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,51529.0,112529.0,61000.0,118.38
70874,Novi Pazar,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,37440.0,81426.0,43986.0,117.48
70882,Osečina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,54343.0,115665.0,61322.0,112.84
70882,Osečina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Kolubarska oblast,municipality,,39402.0,83801.0,44399.0,112.68
70904,Paraćin,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,55868.0,122949.0,67081.0,120.07
70904,Paraćin,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,40506.0,88998.0,48492.0,119.72
70912,Petrovac na Mlavi,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,51700.0,113305.0,61605.0,119.16
70912,Petrovac na Mlavi,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,municipality,,37585.0,82000.0,44415.0,118.17
70939,Pirot,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,72036.0,134890.0,62854.0,87.25
70939,Pirot,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pirotska oblast,municipality,,51968.0,97343.0,45375.0,87.31
70947,Požarevac,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,city_municipality,Grad Požarevac,69990.0,140381.0,70391.0,100.57
70947,Požarevac,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Braničevska oblast,city_municipality,Grad Požarevac,50440.0,101125.0,50685.0,100.49
70955,Požega,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,58679.0,129595.0,70916.0,120.85
70955,Požega,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,42438.0,93658.0,51220.0,120.69
70963,Preševo,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,52996.0,102234.0,49238.0,92.91
70963,Preševo,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Pčinjska oblast,municipality,,38280.0,73895.0,35615.0,93.04
70971,Priboj,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,55752.0,120810.0,65058.0,116.69
70971,Priboj,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,40306.0,87336.0,47030.0,116.68
70980,Prijepolje,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,53248.0,113198.0,59950.0,112.59
70980,Prijepolje,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Zlatiborska oblast,municipality,,38684.0,81878.0,43194.0,111.66
70998,Prokuplje,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,56606.0,122238.0,65632.0,115.95
70998,Prokuplje,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Toplička oblast,municipality,,41068.0,88461.0,47393.0,115.4
71005,Ražanj,gross,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,49530.0,110818.0,61288.0,123.74
71005,Ražanj,net,SRBIJA – JUG,Region Južne i Istočne Srbije,Nišavska oblast,municipality,,36110.0,80340.0,44230.0,122.49
71013,Rača,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,54909.0,120130.0,65221.0,118.78
71013,Rača,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Šumadijska oblast,municipality,,39917.0,87046.0,47129.0,118.07
71021,Raška,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,56013.0,117746.0,61733.0,110.21
71021,Raška,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Raška oblast,municipality,,40635.0,85194.0,44559.0,109.66
71030,Rekovac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,54650.0,111737.0,57087.0,104.46
71030,Rekovac,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,39554.0,80908.0,41354.0,104.55
71048,Jagodina,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,55984.0,121594.0,65610.0,117.19
71048,Jagodina,net,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,40589.0,88073.0,47484.0,116.99
71056,Svilajnac,gross,SRBIJA – JUG,Region Šumadije i Zapadne Srbije,Pomoravska oblast,municipality,,54348.0,115390.0,61042.0,112.32
