source_file,indicator_code,indicator_name,earnings_type,municipality_code,municipality_name,year,value_rsd,unit_code,unit_name,status_code,status_name,source_org
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70726,Leskovac,2018,39999,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70734,Loznica,2018,39641,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70742,Lučani,2018,52659,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70769,Ljig,2018,45834,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70777,Ljubovija,2018,43717,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70785,Majdanpek,2018,49202,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70793,Mali Zvornik,2018,40757,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70807,Malo Crniće,2018,39156,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70815,Medveđa,2018,45143,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70823,Merošina,2018,36776,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70831,Mionica,2018,40340,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70840,Negotin,2018,42331,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70866,Nova Varoš,2018,40590,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70874,Novi Pazar,2018,37440,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70882,Osečina,2018,39402,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70904,Paraćin,2018,40506,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70912,Petrovac na Mlavi,2018,37585,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70939,Pirot,2018,51968,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70947,Požarevac,2018,50440,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70955,Požega,2018,42438,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70963,Preševo,2018,38280,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70971,Priboj,2018,40306,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70980,Prijepolje,2018,38684,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,70998,Prokuplje,2018,41068,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71005,Ražanj,2018,36110,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71013,Rača,2018,39917,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71021,Raška,2018,40635,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71030,Rekovac,2018,39554,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71048,Jagodina,2018,40589,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71056,Svilajnac,2018,39390,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71064,Svrljig,2018,32152,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71072,Sjenica,2018,41404,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71099,Smederevo,2018,49611,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71102,Smederevska Palanka,2018,42272,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71129,Sokobanja,2018,41610,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71137,Surdulica,2018,41276,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71145,Užice,2018,47881,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71153,Topola,2018,40056,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71161,Trgovište,2018,40986,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71170,Trstenik,2018,39466,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71188,Tutin,2018,39574,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71196,Ćićevac,2018,36751,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71200,Ćuprija,2018,40024,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71218,Ub,2018,46507,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71226,Crna Trava,2018,38610,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71234,Čajetina,2018,39020,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71242,Čačak,2018,43260,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71269,Šabac,2018,44150,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71277,Lapovo,2018,40392,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71285,Niška Banja,2018,37790,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71293,Surčin,2018,44440,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71307,Pantelej,2018,43416,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71315,Crveni Krst,2018,40985,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71323,Palilula (Niš),2018,43223,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71331,Medijana,2018,51552,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71340,Kostolac,2018,61956,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71358,Vranjska Banja,2018,32135,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,71366,Sevojno,2018,48282,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,79022,Grad Niš,2018,46383,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,79049,Grad Požarevac,2018,52348,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,79057,Grad Vranje,2018,42130,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,79065,Grad Užice,2018,47892,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80012,Ada,2018,42788,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80039,Alibunar,2018,41884,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80047,Apatin,2018,42627,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80055,Bač,2018,38236,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80063,Bačka Palanka,2018,45376,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80071,Bačka Topola,2018,43978,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80080,Bački Petrovac,2018,41527,RSD,RSD,A,Normal value,SORS
annual_avg_monthly_net_earnings_municipality_residence.csv,2403040403IND01,Average net earnings,net,80098,Bela Crkva,2018,40015,RSD,RSD,A,Normal value,SORS
